전철역명,호선,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
종로3가,1,498060,1130332,37.571607,126.991806
동대문,1,502155,1130180,37.57142,127.009745
서울,1,493365,1125595,37.554648,126.972559
신도림,1,475755,1112937,37.508725,126.891295
시청,1,494587,1128532,37.564718,126.977108
신설동,1,505342,1131412,37.575297,127.025087
종로3가,1,498060,1130332,37.571607,126.991806
광운대,1,513467,1144785,37.623632,127.061835
신길,1,481420,1115205,37.517122,126.917169
종로3가,1,498060,1130332,37.571607,126.991806
동묘앞,1,503422,1130557,37.572627,127.016429
석계,1,514452,1142315,37.614805,127.065851
도봉산,1,510065,1163090,37.689313,127.046222
금정,1,487357,1075022,37.372221,126.943429
수원,1,499747,1045517,37.265974,126.999874
회기,1,512662,1135362,37.58946,127.057583
회룡,1,510190,1172670,37.724846,127.046895
창동,1,510370,1153032,37.653166,127.047731
가산디지털단지,1,473861,1105307,37.481072,126.882343
온수,1,460825,1108360,37.492258,126.823388
부평,1,438837,1107772,37.489493,126.724805
주안,1,429187,1100850,37.464941,126.679923
인천,1,415080,1103977,37.476691,126.616936
청량리,1,510002,1132640,37.580178,127.046835
회기,1,512662,1135362,37.58946,127.057583
신설동,1,505342,1131412,37.575297,127.025087
청량리,1,510002,1132640,37.580178,127.046835
용산,1,491977,1118732,37.529849,126.964561
종각,1,496085,1129940,37.570161,126.982923
종로5가,1,500162,1130132,37.570926,127.001849
동대문,1,502155,1130180,37.57142,127.009745
신설동,1,505342,1131412,37.575297,127.025087
제기동,1,507552,1132159,37.578103,127.034893
청량리,1,510002,1132640,37.580178,127.046835
동묘앞,1,503422,1130557,37.572627,127.016429
용산,1,491977,1118732,37.529849,126.964561
풍기,1,,,,
성균관대,1,493610,1054955,37.300349,126.97075
구일,1,471027,1109500,37.496756,126.870793
서울,1,493365,1125595,37.554648,126.972559
시청,1,494587,1128532,37.564718,126.977108
신도림,1,475755,1112937,37.508725,126.891295
창동,1,510370,1153032,37.653166,127.047731
남영,1,493462,1122025,37.541021,126.9713
노량진,1,487327,1114430,37.514219,126.942454
대방,1,483645,1114340,37.513342,126.926382
영등포,1,479375,1114790,37.515504,126.907628
회기,1,512662,1135362,37.58946,127.057583
외대앞,1,513900,1137147,37.596073,127.063549
신이문,1,514704,1138814,37.601854,127.067325
석계,1,514452,1142315,37.614805,127.065851
광운대,1,513467,1144785,37.623632,127.061835
월계,1,512815,1147432,37.633212,127.058831
녹천,1,511557,1150497,37.644799,127.051269
신길,1,481420,1115205,37.517122,126.917169
봉명,1,530135,916612,36.801215,127.135763
쌍용(나사렛대),1,526835,914512,36.793759,127.1214
아산,1,523035,914062,36.792053,127.104361
탕정,1,,,,
배방,1,511635,910112,36.777629,127.052991
온양온천,1,500535,910912,36.780483,127.003249
신창,1,489035,907912,36.769502,126.951108
금정,1,487357,1075022,37.372221,126.943429
구로,1,473665,1111027,37.503039,126.881966
가산디지털단지,1,473861,1105307,37.481072,126.882343
금천구청,1,476450,1098232,37.455626,126.89398
석수,1,478195,1092480,37.435047,126.902295
관악,1,479698,1088013,37.419232,126.908706
안양,1,482735,1083190,37.401592,126.922874
명학,1,485522,1078495,37.384653,126.935433
군포,1,488327,1069692,37.35356,126.948462
의왕,1,488252,1060692,37.320852,126.948217
화서,1,497490,1050557,37.283862,126.989627
수원,1,499747,1045517,37.265974,126.999874
독산,1,475327,1101222,37.466613,126.889249
세류,1,502825,1039400,37.245025,127.013222
병점,1,507147,1029150,37.207503,127.032731
세마,1,509427,1023707,37.187533,127.04318
오산대,1,513750,1018710,37.168953,127.063197
오산,1,514562,1011910,37.145885,127.06672
진위,1,513662,1002210,37.109447,127.062278
송탄,1,511847,992717,37.075696,127.054301
서정리,1,511607,987472,37.056496,127.052819
지제,1,515467,977022,37.0188,127.070444
평택,1,518805,969180,36.990726,127.085159
성환,1,528022,948422,36.916076,127.126964
직산,1,531832,935982,36.870593,127.143904
두정,1,533047,925610,36.833705,127.14896
천안,1,532535,919162,36.810005,127.146826
당정,1,488329,1067092,37.344285,126.948345
서동탄,1,511347,1026050,37.195504,127.051672
광명,1,474465,1087601,37.416182,126.884466
개봉,1,468537,1109170,37.494594,126.85868
오류동,1,465445,1108947,37.494526,126.845365
역곡,1,458312,1106430,37.485178,126.811502
부천,1,451774,1106150,37.48405,126.782686
송내,1,445200,1107120,37.4876,126.753664
부평,1,438837,1107772,37.489493,126.724805
백운,1,435164,1105969,37.483664,126.707704
동암,1,434192,1102477,37.471408,126.702896
주안,1,429187,1100850,37.464941,126.679923
제물포,1,424050,1101375,37.466769,126.656666
동인천,1,418562,1103812,37.475276,126.632802
인천,1,415080,1103977,37.476691,126.616936
부개,1,442407,1107372,37.488418,126.74109
간석,1,432214,1100821,37.464737,126.694181
도원,1,420742,1101893,37.468446,126.642706
온수,1,460825,1108360,37.492258,126.823388
중동,1,447750,1106820,37.486562,126.764843
도화,1,426550,1101115,37.46607,126.668672
소사,1,454610,1105667,37.482753,126.79544
방학,1,509602,1157006,37.667503,127.044273
도봉,1,509890,1160207,37.679563,127.045595
도봉산,1,510065,1163090,37.689313,127.046222
망월사,1,510207,1168925,37.709914,127.047455
회룡,1,510190,1172670,37.724846,127.046895
의정부,1,509950,1176650,37.738415,127.045958
가능,1,509550,1179510,37.748577,127.044213
녹양,1,509151,1182411,37.75938,127.042292
양주,1,509651,1186511,37.774381,127.044708
덕계,1,512355,1198910,37.818486,127.056486
덕정,1,513355,1205710,37.843188,127.061277
지행,1,512155,1219310,37.892334,127.055716
동두천중앙,1,512255,1222010,37.901885,127.056482
보산,1,512355,1225370,37.913702,127.057277
동두천,1,511905,1229110,37.927878,127.05479
소요산,1,513255,1235010,37.9481,127.061034
동대문역사문화공원,2,501555,1128600,37.565138,127.007896
신도림,2,475755,1112937,37.508725,126.891295
왕십리,2,508015,1127512,37.561533,127.037732
시청,2,494587,1128532,37.564718,126.977108
교대,2,502900,1108655,37.493415,127.01408
신설동,2,505342,1131412,37.575297,127.025087
강변,2,520755,1120262,37.535095,127.094681
까치산,2,466017,1119387,37.531768,126.846683
을지로3가,2,497895,1128945,37.566295,126.99191
홍대입구,2,483315,1126247,37.557192,126.925381
영등포구청,2,476875,1117441,37.52497,126.895951
을지로4가,2,499460,1129122,37.566941,126.998079
합정,2,480875,1124362,37.549463,126.913739
신당,2,503765,1128712,37.565972,127.01782
왕십리,2,508015,1127512,37.561533,127.037732
종합운동장,2,516222,1113652,37.510997,127.073642
사당,2,495760,1104005,37.47653,126.981685
건대입구,2,515365,1121815,37.540693,127.07023
대림,2,476705,1108675,37.49297,126.895801
잠실,2,522390,1114282,37.51395,127.102234
당산,2,478290,1120184,37.53438,126.902281
강남,2,506032,1109640,37.497175,127.027926
왕십리,2,508015,1127512,37.561533,127.037732
선릉,2,510742,1111880,37.504503,127.049008
충정로,2,491842,1127227,37.559973,126.963672
동대문역사문화공원,2,501555,1128600,37.565138,127.007896
신설동,2,505342,1131412,37.575297,127.025087
홍대입구,2,483315,1126247,37.557192,126.925381
신설동,2,505342,1131412,37.575297,127.025087
을지로입구,2,495832,1128752,37.566014,126.982618
을지로3가,2,497895,1128945,37.566295,126.99191
을지로4가,2,499460,1129122,37.566941,126.998079
시청,2,494587,1128532,37.564718,126.977108
동대문역사문화공원,2,501555,1128600,37.565138,127.007896
신당,2,503765,1128712,37.565972,127.01782
상왕십리,2,506303,1128363,37.564354,127.029354
왕십리,2,508015,1127512,37.561533,127.037732
한양대,2,509450,1125912,37.555273,127.043655
뚝섬,2,510281,1123615,37.547184,127.047367
성수,2,512172,1122866,37.544581,127.055961
건대입구,2,515365,1121815,37.540693,127.07023
구의,2,518867,1120790,37.537077,127.085916
잠실나루,2,522630,1116225,37.520733,127.10379
잠실,2,522390,1114282,37.51395,127.102234
잠실새내,2,518955,1113730,37.511687,127.086162
종합운동장,2,516222,1113652,37.510997,127.073642
삼성,2,513737,1113012,37.508844,127.06316
선릉,2,510742,1111880,37.504503,127.049008
역삼,2,507992,1110605,37.500622,127.036456
강남,2,506032,1109640,37.497175,127.027926
서초,2,501595,1108160,37.491897,127.007917
방배,2,499277,1105368,37.481426,126.997596
사당,2,495760,1104005,37.47653,126.981685
낙성대,2,491805,1104272,37.47693,126.963693
서울대입구,2,489440,1105242,37.481247,126.952739
봉천,2,486905,1105552,37.482362,126.941892
신림,2,484275,1105992,37.484201,126.929715
신대방,2,480562,1107052,37.487462,126.913149
구로디지털단지,2,478070,1106435,37.485266,126.901401
대림,2,476705,1108675,37.49297,126.895801
신도림,2,475755,1112937,37.508725,126.891295
문래,2,476561,1115505,37.517933,126.89476
영등포구청,2,476875,1117441,37.52497,126.895951
당산,2,478290,1120184,37.53438,126.902281
합정,2,480875,1124362,37.549463,126.913739
홍대입구,2,483315,1126247,37.557192,126.925381
신촌,2,485922,1125867,37.555134,126.936893
이대,2,487955,1126182,37.556733,126.946013
아현,2,490052,1126335,37.557345,126.956141
충정로,2,491842,1127227,37.559973,126.963672
용답,2,511015,1127677,37.561904,127.050899
신답,2,510310,1129987,37.57004,127.046481
도림천,2,473827,1114450,37.514287,126.882768
양천구청,2,470185,1113852,37.512398,126.865819
신정네거리,2,467370,1116015,37.520074,126.852912
용두,2,508200,1131077,37.574028,127.038091
교대,2,502900,1108655,37.493415,127.01408
까치산,2,466017,1119387,37.531768,126.846683
가락시장,3,525992,1108579,37.492522,127.118234
종로3가,3,498060,1130332,37.571607,126.991806
오금,3,528137,1111147,37.502162,127.128111
충무로,3,498550,1127582,37.561243,126.99428
교대,3,502900,1108655,37.493415,127.01408
종로3가,3,498060,1130332,37.571607,126.991806
을지로3가,3,497895,1128945,37.566295,126.99191
종로3가,3,498060,1130332,37.571607,126.991806
약수,3,502197,1125470,37.55434,127.010655
불광,3,484337,1140982,37.610469,126.929887
연신내,3,482372,1143485,37.619001,126.921008
대곡,3,458007,1147052,37.631626,126.811024
고속터미널,3,500913,1111778,37.50481,127.004943
고속터미널,3,500913,1111778,37.50481,127.004943
양재,3,507387,1106032,37.484147,127.034631
옥수,3,503850,1121910,37.540685,127.017965
도곡,3,512105,1107980,37.490858,127.055381
수서,3,522445,1106977,37.487371,127.10188
충무로,3,498550,1127582,37.561243,126.99428
을지로3가,3,497895,1128945,37.566295,126.99191
홍제,3,487507,1135130,37.589066,126.943736
수서,3,522445,1106977,37.487371,127.10188
경찰병원,3,527245,1109277,37.495918,127.12454
삼송,3,476770,1153035,37.653083,126.895558
화정,3,462986,1147997,37.634592,126.83265
원흥,3,472070,1152435,37.650658,126.872642
지축,3,480805,1151557,37.648048,126.913951
구파발,3,481875,1148452,37.636763,126.918821
연신내,3,482372,1143485,37.619001,126.921008
불광,3,484337,1140982,37.610469,126.929887
녹번,3,485672,1138467,37.600927,126.935756
무악재,3,488910,1133372,37.582299,126.950291
독립문,3,490525,1131175,37.574571,126.957748
경복궁,3,493895,1131520,37.575762,126.97353
안국,3,496540,1131750,37.576477,126.985443
동대입구,3,501022,1127027,37.559052,127.005602
약수,3,502197,1125470,37.55434,127.010655
금호,3,503275,1123820,37.548034,127.015872
옥수,3,503850,1121910,37.540685,127.017965
압구정,3,506121,1117883,37.527072,127.028461
신사,3,504302,1115065,37.516334,127.020114
잠원,3,502340,1113995,37.512759,127.01122
고속터미널,3,500913,1111778,37.50481,127.004943
교대,3,502900,1108655,37.493415,127.01408
남부터미널,3,503497,1106375,37.485013,127.016189
양재,3,507387,1106032,37.484147,127.034631
매봉,3,510257,1106985,37.486947,127.046769
도곡,3,512105,1107980,37.490858,127.055381
대치,3,513907,1108850,37.494612,127.063642
학여울,3,515537,1109537,37.496663,127.070594
대청,3,517440,1108825,37.493514,127.079532
일원,3,518585,1106192,37.483681,127.08439
원당,3,465247,1153090,37.653324,126.843041
대곡,3,458007,1147052,37.631626,126.811024
백석,3,453049,1150265,37.643114,126.78787
마두,3,450765,1152723,37.652206,126.77762
정발산,3,449837,1154790,37.659477,126.773359
주엽,3,447158,1157765,37.670072,126.761334
대화,3,444178,1159423,37.676087,126.747569
오금,3,528137,1111147,37.502162,127.128111
가락시장,3,525992,1108579,37.492522,127.118234
동대문,4,502155,1130180,37.57142,127.009745
동대문역사문화공원,4,501555,1128600,37.565138,127.007896
충무로,4,498550,1127582,37.561243,126.99428
서울,4,493365,1125595,37.554648,126.972559
이촌,4,494107,1116637,37.522272,126.974345
삼각지,4,493970,1120167,37.534777,126.97311
금정,4,487357,1075022,37.372221,126.943429
오이도,4,441955,1072345,37.362357,126.738714
창동,4,510370,1153032,37.653166,127.047731
사당,4,495760,1104005,37.47653,126.981685
노원,4,513622,1153612,37.655128,127.061368
총신대입구(이수),4,495900,1106635,37.486263,126.981989
동작,4,495157,1111287,37.502971,126.979306
동대문역사문화공원,4,501555,1128600,37.565138,127.007896
성신여대입구,4,503476,1136257,37.592624,127.016403
동대문,4,502155,1130180,37.57142,127.009745
충무로,4,498550,1127582,37.561243,126.99428
서울,4,493365,1125595,37.554648,126.972559
동대문역사문화공원,4,501555,1128600,37.565138,127.007896
사당,4,495760,1104005,37.47653,126.981685
당고개,4,517267,1157807,37.670272,127.079066
상계,4,515995,1155000,37.660878,127.073572
노원,4,513622,1153612,37.655128,127.061368
창동,4,510370,1153032,37.653166,127.047731
쌍문,4,507572,1151735,37.648627,127.034709
수유,4,505477,1148677,37.638052,127.025732
미아,4,505667,1145592,37.62667,127.025983
미아사거리,4,506527,1141940,37.613292,127.030053
길음,4,505320,1139202,37.603407,127.025053
성신여대입구,4,503476,1136257,37.592624,127.016403
한성대입구,4,501130,1135052,37.588458,127.006221
혜화,4,500245,1133299,37.582336,127.001844
명동,4,496773,1127452,37.560989,126.986325
회현,4,495072,1126787,37.558514,126.978246
숙대입구,4,493747,1122832,37.54456,126.972106
삼각지,4,493970,1120167,37.534777,126.97311
신용산,4,492830,1118597,37.52917,126.967894
이촌,4,494107,1116637,37.522272,126.974345
동작,4,495157,1111287,37.502971,126.979306
총신대입구(이수),4,495900,1106635,37.486263,126.981989
남태령,4,497392,1100550,37.463873,126.989134
선바위,4,500385,1097110,37.451673,127.002303
경마공원,4,501607,1094842,37.443885,127.007888
대공원,4,501287,1092762,37.435675,127.006523
과천,4,499077,1091800,37.433021,126.996568
정부과천청사,4,497615,1090090,37.426513,126.98978
인덕원,4,494677,1083140,37.401553,126.976715
평촌,4,491940,1081142,37.394287,126.963883
범계,4,488992,1079953,37.389793,126.950806
금정,4,487357,1075022,37.372221,126.943429
산본,4,484987,1071127,37.358101,126.933274
대야미,4,481462,1062700,37.328467,126.917332
반월,4,478522,1058497,37.312212,126.903524
상록수,4,470314,1055852,37.302795,126.866489
한대앞,4,467472,1057792,37.309689,126.85344
중앙,4,464005,1059422,37.315941,126.838573
고잔,4,460565,1059785,37.316777,126.823249
초지,4,456877,1060755,37.320646,126.805913
안산,4,453040,1062570,37.327082,126.788532
신길온천,4,448260,1065560,37.338212,126.765844
정왕,4,442835,1069400,37.351735,126.742989
오이도,4,441955,1072345,37.362357,126.738714
수리산,4,483320,1068927,37.349801,126.925365
종로3가,5,498060,1130332,37.571607,126.991806
오금,5,528137,1111147,37.502162,127.128111
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
왕십리,5,508015,1127512,37.561533,127.037732
까치산,5,466017,1119387,37.531768,126.846683
종로3가,5,498060,1130332,37.571607,126.991806
영등포구청,5,476875,1117441,37.52497,126.895951
신길,5,481420,1115205,37.517122,126.917169
종로3가,5,498060,1130332,37.571607,126.991806
을지로4가,5,499460,1129122,37.566941,126.998079
공덕,5,489187,1122797,37.544018,126.951592
왕십리,5,508015,1127512,37.561533,127.037732
공덕,5,489187,1122797,37.544018,126.951592
천호,5,527042,1121095,37.538397,127.123572
군자,5,517395,1126285,37.557121,127.079542
여의도,5,483100,1116530,37.521624,126.924191
김포공항,5,455957,1127820,37.562434,126.801058
왕십리,5,508015,1127512,37.561533,127.037732
공덕,5,489187,1122797,37.544018,126.951592
충정로,5,491842,1127227,37.559973,126.963672
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
청구,5,502872,1127150,37.560245,127.013828
김포공항,5,455957,1127820,37.562434,126.801058
영등포시장,5,478864,1116799,37.522669,126.905139
상일동,5,536415,1126182,37.556712,127.166417
을지로4가,5,499460,1129122,37.566941,126.998079
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
왕십리,5,508015,1127512,37.561533,127.037732
영등포구청,5,476875,1117441,37.52497,126.895951
충정로,5,491842,1127227,37.559973,126.963672
신길,5,481420,1115205,37.517122,126.917169
방화,5,458487,1132005,37.577446,126.812741
개화산,5,457115,1130677,37.572399,126.806171
김포공항,5,455957,1127820,37.562434,126.801058
송정,5,458327,1127585,37.561184,126.811973
마곡,5,461137,1127285,37.560183,126.825448
발산,5,463930,1126865,37.558598,126.837668
우장산,5,463575,1124075,37.548768,126.836318
화곡,5,464647,1121977,37.541513,126.840461
까치산,5,466017,1119387,37.531768,126.846683
신정,5,467952,1117395,37.524997,126.856191
목동,5,469885,1117862,37.526065,126.864931
오목교,5,472327,1117257,37.524496,126.875181
양평,5,474744,1117620,37.525648,126.885778
여의도,5,483100,1116530,37.521624,126.924191
여의나루,5,485020,1118070,37.527098,126.932901
마포,5,487855,1121387,37.539574,126.945932
공덕,5,489187,1122797,37.544018,126.951592
애오개,5,490233,1125313,37.553736,126.95682
서대문,5,492467,1128777,37.565773,126.966641
광화문,5,494520,1130442,37.571026,126.976669
청구,5,502872,1127150,37.560245,127.013828
신금호,5,504357,1125662,37.554548,127.020331
행당,5,506397,1126405,37.557322,127.029476
마장,5,509362,1128847,37.5661,127.042973
답십리,5,511330,1129032,37.566747,127.052704
장한평,5,513985,1127595,37.56144,127.064623
군자,5,517395,1126285,37.557121,127.079542
아차산,5,519537,1125055,37.551691,127.089761
광나루,5,522710,1123015,37.545303,127.10357
천호,5,527042,1121095,37.538397,127.123572
강동,5,529040,1120490,37.535804,127.132481
길동,5,530777,1121007,37.537801,127.140004
굽은다리,5,531440,1123127,37.545477,127.142853
명일,5,531702,1124652,37.55137,127.143999
고덕,5,533850,1125845,37.555004,127.154151
둔촌동,5,529927,1118215,37.527788,127.136248
올림픽공원,5,528797,1115072,37.516078,127.130848
방이,5,527705,1112922,37.508857,127.126133
오금,5,528137,1111147,37.502162,127.128111
개롱,5,529600,1110007,37.498079,127.13482
거여,5,531620,1108740,37.493105,127.14415
마천,5,533682,1109147,37.49499,127.152781
합정,6,480875,1124362,37.549463,126.913739
공덕,6,489187,1122797,37.544018,126.951592
삼각지,6,493970,1120167,37.534777,126.97311
약수,6,502197,1125470,37.55434,127.010655
신당,6,503765,1128712,37.565972,127.01782
동묘앞,6,503422,1130557,37.572627,127.016429
석계,6,514452,1142315,37.614805,127.065851
불광,6,484337,1140982,37.610469,126.929887
연신내,6,482372,1143485,37.619001,126.921008
공덕,6,489187,1122797,37.544018,126.951592
디지털미디어시티,6,477750,1131825,37.576646,126.900984
공덕,6,489187,1122797,37.544018,126.951592
효창공원앞,6,491425,1121402,37.539261,126.961351
태릉입구,6,516430,1143262,37.617983,127.07512
청구,6,502872,1127150,37.560245,127.013828
보문,6,504065,1134217,37.585286,127.019381
디지털미디어시티,6,477750,1131825,37.576646,126.900984
동묘앞,6,503422,1130557,37.572627,127.016429
신당,6,503765,1128712,37.565972,127.01782
합정,6,480875,1124362,37.549463,126.913739
연신내,6,482372,1143485,37.619001,126.921008
불광,6,484337,1140982,37.610469,126.929887
약수,6,502197,1125470,37.55434,127.010655
삼각지,6,493970,1120167,37.534777,126.97311
석계,6,514452,1142315,37.614805,127.065851
공덕,6,489187,1122797,37.544018,126.951592
청구,6,502872,1127150,37.560245,127.013828
응암,6,481137,1137787,37.598605,126.915577
역촌,6,482885,1139980,37.606021,126.922744
독바위,6,485010,1143355,37.618456,126.933031
구산,6,481445,1141345,37.611377,126.91727
새절,6,480680,1135812,37.591148,126.913629
증산,6,479815,1133702,37.583876,126.909645
디지털미디어시티,6,477750,1131825,37.576646,126.900984
월드컵경기장,6,477497,1129932,37.569532,126.899298
마포구청,6,478397,1128185,37.563515,126.903343
망원,6,479897,1125917,37.556094,126.910052
상수,6,482785,1123665,37.547716,126.922852
광흥창,6,484776,1123677,37.547456,126.931993
대흥,6,487020,1123710,37.547771,126.942069
효창공원앞,6,491425,1121402,37.539261,126.961351
녹사평,6,496899,1120133,37.534675,126.986695
이태원,6,498620,1120045,37.534488,126.994302
한강진,6,500155,1121477,37.539631,127.001725
버티고개,6,501220,1123845,37.548013,127.007055
창신,6,503160,1132590,37.579661,127.015241
보문,6,504065,1134217,37.585286,127.019381
안암,6,506240,1134387,37.586272,127.029005
고려대,6,507807,1135480,37.590508,127.036296
월곡,6,508970,1138772,37.601948,127.041518
상월곡,6,510502,1140015,37.606377,127.048491
돌곶이,6,512415,1141217,37.610537,127.056431
태릉입구,6,516430,1143262,37.617983,127.07512
